rep;DATASET_NBR;FEAT_EXTR_ALGORITHM;GROUND_TRUTH_TRESHOLD;KFOLDS;NBR_OF_SUPERPIXELS;PATCH_HEIGHT;PATCH_WIDTH;RANDOM_SEED;RF_MAX_DEPTH;RF_NBR_TREES;UNET_ADAGRAD_DECAY;UNET_ADAGRAD_EPSILON;UNET_ADAGRAD_LEARNING_RATE;UNET_ADAMAX_BETA1;UNET_ADAMAX_BETA2;UNET_ADAMAX_DECAY;UNET_ADAMAX_EPSILON;UNET_ADAMAX_LEARNING_RATE;UNET_ADAM_BETA1;UNET_ADAM_BETA2;UNET_ADAM_DECAY;UNET_ADAM_EPSILON;UNET_ADAM_LEARNING_RATE;UNET_BATCHSIZE;UNET_CURR_TRIAL;UNET_DATA_GAUSSIAN_NOISE_STD;UNET_DATA_HEIGHT_SHIFT;UNET_DATA_ROT_RANGE;UNET_DATA_SHEAR_RANGE;UNET_DATA_STEPS_PER_EPOCH;UNET_DATA_USE_GENERATOR;UNET_DATA_WIDTH_SHIFT;UNET_LOSS;UNET_MODEL_NBR;UNET_NBR_EPOCHS;UNET_OPTIMIZER;UNET_SAVE_EPOCH_INTERVAL;UNET_SAVE_ONLY_BEST_WEIGHT;UNET_SGD_DECAY;UNET_SGD_LEARNING_RATE;UNET_SGD_MOMENTUM;UNET_SGD_NESTEROV;UNET_VALIDATION_SPLIT;acc_@_f1_score_max;accuracy;f1_max_px_lvl;f1_score;f1_score_max;pre_@_f1_score_max;pre_px_lvl;precision;rec_@_f1_score_max;rec_px_lvl;recall;th_@_f1_score_max
59;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;9;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9984163151;0.9960678864;0.8466337522;0.8792778268;0.9639239215;0.964827289;0.8502400216;0.9926450742;0.9641338761;0.8430579454;0.7903663501;0.2773333333
60;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;0;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9981431508;0.995849516;0.8427171547;0.8696043062;0.9567256596;0.9524983777;0.8505531276;0.9926101695;0.9610583446;0.8350242464;0.7783355948;0.2706666667
61;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;1;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9984162107;0.9962318655;0.8452787833;0.883993319;0.964032881;0.9675759535;0.8491436174;0.9963636364;0.9610131162;0.8414489709;0.7964721845;0.3093333333
62;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;2;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9982524255;0.9968325855;0.8457891249;0.9057242103;0.9592512054;0.9678567543;0.8577665943;0.9901639344;0.9520578924;0.8341415451;0.8354138399;0.312
63;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;3;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.998143106;0.9965592272;0.848451676;0.8945090819;0.958972398;0.9399089164;0.8397373461;0.993030303;0.9789687924;0.8573487676;0.8169606513;0.272
64;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;4;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9985254705;0.9962317164;0.8496616914;0.8849560073;0.9668477541;0.969783313;0.8476491259;0.9924501425;0.9640434193;0.8516838365;0.7993215739;0.3226666667
65;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;5;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.997706231;0.9959585819;0.8346192023;0.8757038389;0.9425142125;0.9523360571;0.8426219054;0.9924285714;0.9340117594;0.8267670786;0.784305744;0.288
66;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;6;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9980340401;0.9962318656;0.8443724861;0.8852580866;0.9548108349;0.9588038832;0.8527089386;0.9929153605;0.9521031208;0.8361974569;0.7995929444;0.3013333333
67;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;7;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9984161809;0.996177012;0.8489342192;0.8826053714;0.9625156659;0.9639954076;0.8548929854;0.9927997428;0.9610583446;0.8430579454;0.7962460425;0.312
68;11;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;16;8;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9980340849;0.9960134653;0.8423618696;0.8771342142;0.9556706466;0.9559282552;0.8489287822;0.9922146636;0.9579828132;0.8358957742;0.7874717322;0.2813333333
